game_name,tags,followers,oweners,num_ytube_vids(one_day)
Resident Evil Village,"['Survival Horror', 'Horror', 'First-Person', 'Singleplayer', 'Sexual Content', 'Action', 'Zombies', 'Gore', 'Story Rich', 'Atmospheric', 'Violent', 'FPS', 'Dark', 'Psychological Horror', 'Survival', 'Adventure', 'Open World', 'Multiplayer', 'VR', 'Nudity']",": 175,936",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Gorilla Tag,"['Psychological Horror', 'VR', 'Multiplayer', 'Parkour', 'Horror', 'First-Person', 'Funny', 'Survival Horror', '3D', '3D Platformer', 'Action', 'PvP', 'Platformer', 'Casual', 'Nature', 'Physics', '6DOF', 'Early Access', 'NSFW', 'Minimalist', 'VR Only']",": 33,302",": 500,000 .. 1,000,000",: 50 new videos uploaded yesterday.
War Robots,"['Free to Play', 'Action', 'Robots', 'Multiplayer', 'Shooter', 'Mechs', 'FPS', 'PvP', 'Massively Multiplayer', 'Controller', 'War', 'First-Person', 'Third-Person Shooter', 'Third Person', 'Co-op', 'Strategy', 'Singleplayer', 'MMORPG', 'VR', 'RPG']",": 36,124",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
Blade and Sorcery,"['VR', 'Swordplay', 'Action', 'Moddable', 'Gore', 'Violent', 'Magic', 'Sandbox', 'Simulation', 'Physics', 'Fighting', 'Medieval', 'First-Person', 'Singleplayer', 'Fantasy', 'Adventure', 'Early Access', 'Indie', 'RPG', 'Games Workshop', 'VR Only']",": 68,460",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Breachers,"['Action', 'Shooter', 'FPS', 'VR', '3D', 'First-Person', 'Tactical', 'PvP', 'Military', 'Combat', 'Multiplayer', 'Co-op', 'Online Co-Op', 'Singleplayer']",": 3,707",": 0 .. 20,000",: 50 new videos uploaded yesterday.
Resident Evil 7 Biohazard,"['Horror', 'Survival Horror', 'First-Person', 'Singleplayer', 'Atmospheric', 'Gore', 'Zombies', 'Psychological Horror', 'Action', 'Violent', 'Survival', 'Adventure', 'Story Rich', 'Puzzle', 'VR', 'FPS', 'Multiplayer', 'Exploration', 'Shooter', 'Classic']",": 215,299",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Universe Sandbox,"['Sandbox', 'Space', 'Simulation', 'Physics', 'Science', 'Destruction', 'Realistic', 'God Game', 'Education', 'Early Access', 'Singleplayer', 'VR', 'Open World', 'Indie', 'Casual', 'Atmospheric', 'Sci-fi', 'Great Soundtrack', 'Exploration', 'Adventure']",": 165,709",": 1,000,000 .. 2,000,000",: 7 new videos uploaded yesterday.
Elite Dangerous,"['Space Sim', 'Space', 'Open World', 'Exploration', 'Sci-fi', 'Simulation', 'Massively Multiplayer', 'Multiplayer', 'First-Person', 'VR', 'Action', 'Adventure', 'Sandbox', 'Online Co-Op', 'Singleplayer', 'Trading', 'RPG', 'Difficult', 'Strategy', 'TrackIR']",: 0,": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
DEVOUR,"['Horror', 'Online Co-Op', 'Multiplayer', 'Survival Horror', 'Co-op', 'Sexual Content', 'Psychological Horror', 'Dark', 'Survival', 'First-Person', 'Indie', 'Atmospheric', 'Difficult', 'Puzzle', 'Singleplayer', 'Gore', 'Stealth', 'Violent', 'VR', 'Action']",": 65,117",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
High On Life,"['FPS', 'Comedy', 'Singleplayer', 'Adventure', 'Action-Adventure', 'Sexual Content', 'Dark Humor', 'Sci-fi', 'Shooter', 'Action', 'First-Person', 'Violent', 'Story Rich', 'Gore', 'Combat', 'Colorful', 'Open World', 'Nudity', 'Hentai', 'Psychological Horror']",": 79,618",": 200,000 .. 500,000",: 50 new videos uploaded yesterday.
