game_name,tags,followers,oweners,num_ytube_vids(one_day)
"Calm Down, Stalin - VR","['Casual', 'Simulation', 'Indie', 'VR', 'Politics', 'Cold War', 'Funny', 'World War II', 'Atmospheric', 'Comedy', 'VR Only']",: 258,": 0 .. 20,000",nan
The Solus Project,"['Survival', 'Adventure', 'Exploration', 'Sci-fi', 'VR', 'Singleplayer', 'Survival Horror', 'First-Person', 'Atmospheric', 'Space', 'Horror', 'Story Rich', 'Simulation', 'Indie', 'Walking Simulator', 'Open World', 'Mystery', 'Crafting', 'Psychological Horror', 'Sandbox']",: 0,": 100,000 .. 200,000",: 0 new videos uploaded yesterday.
Tethered,"['Strategy', 'Indie', 'VR', 'God Game', 'RTS', 'Cute', 'Building', 'Puzzle', 'Singleplayer', 'Atmospheric', 'Stylized', 'Lemmings']",": 3,630",": 0 .. 20,000",: 0 new videos uploaded yesterday.
The Wizards - Enhanced Edition,"['Adventure', 'Action', 'VR', 'Magic', 'Fantasy', 'First-Person', 'Singleplayer', 'Action RPG', 'Arcade', 'Exploration', 'Dragons', 'Action-Adventure', 'Atmospheric', 'Story Rich', 'Violent', 'VR Only']",": 6,653",": 20,000 .. 50,000",nan
Tabletopia,"['Sandbox', 'Tabletop', 'Free to Play', 'Game Development', 'Board Game', 'Simulation', 'Strategy', 'Multiplayer', 'RPG', 'Casual', 'Indie', 'Card Game', 'Co-op', '3D Vision', 'VR', 'Fantasy', 'Online Co-Op', 'Choose Your Own Adventure', '3D', 'Top-Down']",: 0,": 200,000 .. 500,000",nan
Star Trek: Starfleet Command Gold Edition,"['Strategy', 'Simulation', 'Action', 'Space', 'Sci-fi', 'Real Time Tactics', 'Real-Time', 'Space Sim', 'Software', 'Solitaire', 'Old School', 'Multiplayer', 'Singleplayer', 'Tabletop', 'Isometric', 'Sequel', 'Mod', 'Remake', 'VR']",": 1,364",": 0 .. 20,000",nan
BRINK Traveler,"['Realistic', 'VR', 'Experience', 'Nature', 'Exploration', '6DOF', 'Education', 'Relaxing', 'Atmospheric', 'Casual', '3D', 'Adventure', 'Story Rich', 'Singleplayer', 'America', 'Historical', 'Narration', 'Simulation', 'Software', 'Walking Simulator', 'VR Only']",": 1,138",": 0 .. 20,000",nan
Transpose,"['VR', 'Puzzle-Platformer', 'Puzzle', 'Time Manipulation', 'Exploration', 'Surreal', 'Physics', 'Time Management', 'Relaxing', 'Strategy', 'Casual', 'First-Person', 'Stylized', 'Time Travel', 'Psychedelic', 'Atmospheric', 'Singleplayer', 'Action', 'Sci-fi', 'Cult Classic', 'VR Only']",": 1,307",": 20,000 .. 50,000",: 1 new videos uploaded yesterday.
Maskmaker,"['VR', 'Adventure', 'Puzzle', 'Stylized', 'Open World', 'Silent Protagonist', 'Nonlinear', 'Interactive Fiction', 'Story Rich', 'Fantasy', 'Indie', 'Narration', 'Physics', 'Atmospheric', 'Singleplayer', 'Cinematic', 'Exploration', '6DOF', '3D', 'First-Person', 'VR Only']",": 1,132",": 100,000 .. 200,000",: 1 new videos uploaded yesterday.
I Fetch Rocks,"['Early Access', 'Simulation', 'Sandbox', 'Logic', 'Space Sim', 'Flight', 'Programming', 'Education', 'Automation', 'Mining', 'Physics', 'VR', 'Immersive Sim', 'Science', 'Space', 'Resource Management', 'Base-Building', 'Sci-fi', 'Survival', 'Singleplayer', 'VR Only']",": 1,443",": 0 .. 20,000",nan
The Maze: Humanity,"['Early Access', 'Action', 'VR', 'Party-Based RPG', 'Survival', 'Action RPG', 'MMORPG', 'Immersive Sim', 'Post-apocalyptic', 'Dungeon Crawler', 'Looter Shooter', 'Colorful', 'Realistic', 'FPS', 'First-Person', 'RPG', 'Hack and Slash', 'Action-Adventure', '3D', '3D Vision', 'VR Only']",: 446,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Blacktop Hoops,[],nan,": 0 .. 20,000",nan
OVRdrop,"['Utilities', 'VR', 'VR Only']",": 1,585",": 100,000 .. 200,000",nan
Bad boy simulator,"['Early Access', 'Simulation', 'VR', 'Singleplayer', 'First-Person', 'Exploration', 'Anime', '3D', 'Cute', 'Logic', 'Memes', 'Education', 'Time Manipulation', 'Nonlinear', 'Fast-Paced', 'Funny', 'Physics', 'Dark Comedy', 'Action', 'Adventure', 'VR Only']",: 204,": 0 .. 20,000",: 0 new videos uploaded yesterday.
BrVR Backrooms Virtual Reality,"['Early Access', 'VR', 'Sandbox', 'Physics', 'Survival', 'Adventure', 'Action-Adventure', 'Action', 'Exploration', 'FPS', 'Dungeon Crawler', 'Lore-Rich', 'Combat', '3D', 'Open World', 'Level Editor', 'Nonlinear', 'Resource Management', 'Colorful', 'Realistic', 'VR Only']",: 208,": 0 .. 20,000",: 1 new videos uploaded yesterday.
Glider Sim,"['Casual', 'Simulation', 'Sports', 'Exploration', 'Flight', '3D', 'Immersive Sim', 'Cinematic', 'First-Person', 'Realistic', 'Early Access', 'VR', 'Third Person', 'Open World', 'Physics', 'Multiplayer']",: 529,": 0 .. 20,000",nan
Virtuoso,"['Indie', 'Music', 'VR', 'Casual', 'Electronic Music', 'Family Friendly', 'Instrumental Music', 'Relaxing', 'Audio Production', 'Atmospheric', 'Sandbox', 'Singleplayer', 'Arcade', 'VR Only']",": 2,062",": 0 .. 20,000",: 2 new videos uploaded yesterday.
Virtual Fighting Championship (VFC),"['VR', 'Boxing', 'Action', 'Sports', 'Multiplayer', 'PvP', 'e-sports', '3D Fighter', 'Combat', 'Singleplayer', 'Simulation', 'Indie', 'Early Access', 'Fighting', 'Martial Arts', '2D Fighter', 'Free to Play', 'Massively Multiplayer', 'VR Only']",: 913,": 0 .. 20,000",nan
Gladius | Gladiator VR Sword fighting,"['VR', 'Action', 'Swordplay', 'Rome', 'Indie', 'Fighting', 'Gore', 'Violent', 'Adventure', '3D Fighter', 'Sandbox', 'Dungeon Crawler', 'Hack and Slash', 'Historical', 'Medieval', 'Combat', 'Moddable', 'Singleplayer', 'Early Access', 'First-Person', 'VR Only']",: 0,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Eternity Warriors™ VR,"['VR', 'Zombies', 'Post-apocalyptic', 'Action', 'Violent', 'Adventure', 'Indie', 'Gore', 'Early Access', 'Multiplayer', 'Shooter', 'Singleplayer', 'Survival', 'Online Co-Op', 'PvE', 'Survival Horror', 'FPS', 'VR Only']",": 5,338",": 20,000 .. 50,000",nan
Time Lock VR 1,"['Puzzle', 'Hidden Object', 'Action-Adventure', '3D', 'Action', 'VR', 'Adventure', 'Singleplayer', 'Time Manipulation', 'Casual', 'Time Travel', 'Family Friendly', 'Indie', 'Short', 'Early Access', 'Sci-fi', 'First-Person', '3D Platformer', 'Puzzle-Platformer', 'Science', 'VR Only']",: 538,": 0 .. 20,000",nan
Industrial Petting,"['Early Access', 'Automation', 'Creature Collector', 'Exploration', 'Sandbox', 'Agriculture', 'Crafting', 'Building', 'Robots', 'Base-Building', 'Farming Sim', 'Strategy', 'Cute', 'First-Person', 'VR', 'Relaxing', 'Open World', 'Procedural Generation', 'Casual', 'Simulation']",": 1,540",": 0 .. 20,000",nan
Uberlaufer,"['VR', 'World War II', 'Action Roguelike', 'Action', 'Dungeon Crawler', 'Historical', 'Stealth', 'Wargame', 'Early Access', 'Political', 'Indie', 'Violent', 'Procedural Generation', '6DOF', 'Singleplayer', 'Dynamic Narration', 'War', 'Shooter', 'Rogue-like', 'VR Only']",": 1,160",": 0 .. 20,000",nan
Guns'n'Stories: Bulletproof VR,"['Casual', 'Action', 'Adventure', 'Simulation', 'VR', 'Western', 'FPS', 'Twin Stick Shooter', 'VR Only']",": 3,500",": 0 .. 20,000",: 1 new videos uploaded yesterday.
PunjiVR,"['Early Access', 'Tactical', 'FPS', 'Unforgiving', 'Cold War', 'VR', 'Military', 'Action', 'War', 'Shooter', 'Atmospheric', 'Physics', 'Combat', 'Strategy', 'PvE', 'Nonlinear', 'Stealth', 'First-Person', 'Singleplayer', '3D', 'VR Only']",: 746,": 0 .. 20,000",nan
Disc Golf Valley VR,"['Sports', 'Casual', 'Simulation', 'VR', 'Golf', 'Singleplayer', '3D', 'Early Access', 'Controller', 'Inventory Management', 'VR Only']",: 261,": 0 .. 20,000",nan
DMT: Dynamic Music Tesseract,"['Simulation', 'Indie', 'VR', 'Music', 'Psychedelic', 'VR Only']",: 626,": 20,000 .. 50,000",nan
The Morrigan,"['VR', 'Adventure', 'RPG', 'Action', 'Indie', 'Dungeon Crawler', 'Medieval', 'First-Person', 'Swordplay', 'Fantasy', 'Physics', 'Hack and Slash', 'Difficult', 'Action RPG', 'Exploration', 'Action-Adventure', 'Fast-Paced', 'Singleplayer', 'VR Only']",": 2,263",": 0 .. 20,000",: 2 new videos uploaded yesterday.
Catlateral Damage,"['Cats', 'Physics', 'Destruction', 'Cute', 'Funny', 'Casual', 'Simulation', 'Family Friendly', 'First-Person', 'Cartoony', 'Memes', 'Sandbox', 'Procedural Generation', 'Colorful', 'Villain Protagonist', '3D Platformer', 'VR', 'Singleplayer', 'Action', 'Adventure']",: 0,": 50,000 .. 100,000",: 1 new videos uploaded yesterday.
Pierhead Arcade,"['Simulation', 'Indie', 'Casual', 'VR', 'Sandbox', 'Early Access', 'Arcade', 'VR Only']",": 1,157",": 0 .. 20,000",nan
Solar System VR,"['Adventure', 'Simulation', 'VR', 'Space', 'Education', '360 Video', 'Exploration', 'Singleplayer', 'First-Person', 'Indie', 'Flight', '3D', 'Cinematic', 'Realistic', 'VR Only']",: 770,": 20,000 .. 50,000",nan
Acron: Attack of the Squirrels!,"['Action', 'Asymmetric VR', 'VR', 'Multiplayer', 'VR Only']",: 793,": 0 .. 20,000",: 1 new videos uploaded yesterday.
Lunar Flight,"['Simulation', 'VR', 'Space', 'Indie', 'Flight', 'Physics', 'Realistic', 'Singleplayer', 'Multiplayer', 'Difficult', 'TrackIR']",: 0,": 50,000 .. 100,000",: 0 new videos uploaded yesterday.
Tomboy Adventure,"['Dating Sim', 'VR', 'Anime', 'Adventure', 'Romance', 'Relaxing', 'Visual Novel', 'Exploration', 'Atmospheric', 'Conversation', '3D', 'Singleplayer', 'First-Person']",: 615,": 0 .. 20,000",nan
The Secret of Retropolis,"['VR', 'Point & Click', 'Detective', 'Noir', 'Adventure', 'Story Rich', 'Puzzle', '6DOF', 'Interactive Fiction', 'Retro', 'First-Person', 'Multiple Endings', 'Hand-drawn', 'Dynamic Narration', 'Funny', 'Narration', 'Stylized', 'Comic Book', 'Cyberpunk', 'Cartoony', 'VR Only']",: 563,": 100,000 .. 200,000",nan
Interkosmos,"['Simulation', 'Adventure', 'Indie', 'Action', 'VR', 'Space', 'Puzzle', 'Cold War', 'Space Sim', 'Flight', 'Singleplayer', 'Satire', 'Funny', 'Story Rich', 'Comedy', 'Atmospheric', 'First-Person', 'Alternate History', 'Action-Adventure', 'Replay Value', 'VR Only']",": 2,826",": 100,000 .. 200,000",nan
Painting VR,"['Immersive Sim', 'Simulation', 'Sandbox', 'Design & Illustration', 'Crafting', 'VR', '3D', 'Indie', 'First-Person', 'Relaxing', 'Realistic', 'Atmospheric', 'Casual', 'Singleplayer', 'Crowdfunded', 'Experience', 'VR Only']",: 890,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Slender: The Arrival,"['Horror', 'Survival Horror', 'First-Person', 'Indie', 'Multiplayer', 'Dark', 'Psychological Horror', 'Singleplayer', 'Walking Simulator', 'Atmospheric', 'Adventure', 'Survival', 'Action', 'Difficult', 'Open World', 'Female Protagonist', 'Exploration', 'Co-op', 'VR', 'Jump Scare']",: 0,": 200,000 .. 500,000",: 4 new videos uploaded yesterday.
Dagon - The Little Glass Bottle DLC,[],nan,": 0 .. 20,000",nan
Curious Cases,"['Puzzle', 'Horror', 'Mystery', 'Investigation', 'Casual', 'Exploration', 'Hidden Object', 'PvP', 'Competitive', 'First-Person', 'Noir', 'VR', '3D', 'Detective', 'Psychological Horror', 'Story Rich', 'Linear', 'Narration', 'Realistic', 'Adventure']",": 1,790",": 100,000 .. 200,000",nan
Down the Rabbit Hole,"['Adventure', 'Indie', 'Puzzle', 'Story Rich', 'Third Person', 'VR']",": 2,186",": 0 .. 20,000",: 2 new videos uploaded yesterday.
3dSen VR,"['Early Access', 'Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'Trading Card Game', 'VR', 'Physics', '3D', 'Casual', 'Strategy', 'Wargame', 'Moddable', 'Online Co-Op', 'Co-op', 'RPG', 'Funny', 'First-Person']",": 1,711",": 0 .. 20,000",: 0 new videos uploaded yesterday.
Chupa Chupa VR,"['VR', 'Hentai', 'Anime', 'Indie', 'Cute', 'Simulation', 'Funny', 'Casual', 'Stealth', 'Character Action Game', 'Action', '3D', 'Immersive Sim', 'Time Travel', 'Singleplayer', 'First-Person', 'Realistic', 'Sexual Content', 'NSFW', 'Old School', 'VR Only']",": 2,267",": 0 .. 20,000",nan
RUSH,"['Simulation', 'Racing', 'Sports', 'Action', 'Flight', 'VR', 'Multiplayer', 'First-Person', 'Online Co-Op', 'Atmospheric', 'Exploration', 'Singleplayer', 'Adventure', 'Score Attack', 'Replay Value', 'Indie', 'VR Only']",": 1,786",": 50,000 .. 100,000",: 50 new videos uploaded yesterday.
Egression,"['VR', 'Puzzle', 'Adventure', 'Investigation', 'Mystery', 'Escape Room', 'Atmospheric', 'Exploration', 'Singleplayer', 'First-Person', 'VR Only']",: 463,": 0 .. 20,000",nan
DeepStates [VR],"['Atmospheric', 'VR', 'Nature', 'Relaxing', 'Ambient', 'Simulation', 'Psychedelic', 'Immersive', 'Exploration', 'Walking Simulator', '3D', 'Immersive Sim', 'Cinematic', 'Realistic', 'Emotional', 'Family Friendly', '6DOF', 'Nonlinear', 'Singleplayer', 'Early Access', 'VR Only']",: 801,": 0 .. 20,000",nan
Now There Be Goblins,"['VR', 'Tower Defense', 'Hack and Slash', 'Arcade', 'Strategy', 'Funny', 'Action', 'Physics', 'Cartoony', 'Stylized', 'Colorful', 'Fantasy', 'Medieval', 'Tactical', 'Family Friendly', 'Combat', 'PvE', 'Singleplayer', 'Indie', 'VR Only']",: 660,": 0 .. 20,000",: 1 new videos uploaded yesterday.
OceanCraft,"['Open World Survival Craft', 'Sailing', 'Adventure', 'Survival', 'VR', 'Team-Based', 'Family Friendly', 'Nature', 'Singleplayer', 'Early Access', 'Co-op', 'Multiplayer', 'Online Co-Op', 'Crafting', 'Mining', 'VR Only']",: 541,": 0 .. 20,000",nan
Operencia: The Stolen Sun,"['Indie', 'RPG', 'Dungeon Crawler', 'Party-Based RPG', 'VR', 'Turn-Based Combat', 'Turn-Based', 'Fantasy', 'CRPG', 'Action RPG', 'Puzzle', 'Atmospheric', 'Singleplayer', 'Grid-Based Movement', 'Mythology', 'Adventure', 'First-Person', 'Exploration', 'Action', 'Story Rich']",": 8,603",": 20,000 .. 50,000",: 1 new videos uploaded yesterday.
Grit Paintball,"['Simulation', 'Level Editor', 'Singleplayer', 'VR', 'Early Access', 'Sports', 'FPS', 'Shooter', 'Realistic', 'First-Person', 'Building']",: 116,": 0 .. 20,000",nan
Gadgeteer,"['Simulation', 'Indie', 'VR', 'Puzzle', 'Physics', 'Sandbox', 'Casual', 'Building', 'Strategy', 'Education', 'VR Only']",": 1,497",": 0 .. 20,000",nan
Furious Seas,"['Action', 'Indie', 'Pirates', 'VR', 'Naval Combat', 'Sailing', 'Naval', 'Multiplayer', 'Co-op', 'Early Access', 'First-Person', 'Arcade', 'Singleplayer', 'Shooter', 'Funny', 'Atmospheric', 'Adventure', 'Action-Adventure', 'VR Only']",": 3,855",": 0 .. 20,000",nan
Skyworld,"['Strategy', 'Indie', 'VR', 'Multiplayer', 'RTS', 'VR Only']",": 5,786",": 20,000 .. 50,000",: 0 new videos uploaded yesterday.
Eternal Starlight VR,"['VR', 'RTS', 'Strategy', 'Space', 'Tactical', 'Action', 'Rogue-like', 'Space Sim', 'Action RTS', 'Real Time Tactics', 'Simulation', 'Sci-fi', 'War', 'Military', 'Futuristic', 'Cinematic', 'Indie', 'Inventory Management', 'Singleplayer', 'Spaceships', 'VR Only']",": 1,267",": 0 .. 20,000",nan
Boom 3D,"['Utilities', 'Audio Production', 'VR', '3D']",": 1,194",": 20,000 .. 50,000",: 1 new videos uploaded yesterday.
Blue Effect VR,"['Action', 'Indie', 'VR', 'Horror', 'Atmospheric', 'Survival', 'Survival Horror', 'VR Only']",": 1,164",": 0 .. 20,000",nan
Aery VR - Calm Mind,"['Simulation', 'VR', 'Flight', 'Relaxing', 'Collectathon', 'Colorful', 'Stylized', 'Nature', 'Indie', 'Casual', 'Procedural Generation', 'Singleplayer']",: 59,": 0 .. 20,000",nan
Robinson: The Journey,"['VR', 'Dinosaurs', 'Sci-fi', 'Adventure', 'Puzzle', 'Exploration', 'Story Rich', 'Singleplayer', 'First-Person', 'Walking Simulator', 'Puzzle-Platformer', 'Immersive', 'Survival', 'Multiplayer', 'Base-Building', 'Action-Adventure', 'Open World', 'FPS', 'Great Soundtrack', 'Co-op', 'VR Only']",": 4,446",": 50,000 .. 100,000",: 0 new videos uploaded yesterday.
Distance,"['Racing', 'Great Soundtrack', 'Futuristic', 'Multiplayer', 'Level Editor', 'Indie', 'Action', 'Atmospheric', 'Fast-Paced', 'Singleplayer', 'Cyberpunk', 'Arcade', 'Local Multiplayer', 'Sci-fi', 'Split Screen', 'Survival', 'Platformer', 'Horror', '4 Player Local', 'VR']",: 0,": 200,000 .. 500,000",: 50 new videos uploaded yesterday.
Laid-Back Camp - Virtual - Fumoto Campsite,"['Choose Your Own Adventure', 'Visual Novel', 'VR', 'Female Protagonist', 'Cute', 'Point & Click', 'Casual', 'Relaxing', 'Anime', '3D', 'Story Rich', 'Adventure', 'Nature', 'Atmospheric', '6DOF', 'Drama', 'Singleplayer', 'Political Sim', 'VR Only']",": 3,079",": 0 .. 20,000",nan
Trackmania® Turbo,"['Racing', 'Massively Multiplayer', 'Arcade', 'Level Editor', 'Multiplayer', 'Split Screen', 'Time Attack', 'Singleplayer', 'Difficult', 'Co-op', 'Local Co-Op', 'Competitive', 'Action', 'VR', 'Local Multiplayer', 'Sandbox', 'Fast-Paced', 'Funny']",": 22,474",": 100,000 .. 200,000",: 10 new videos uploaded yesterday.
Virtual Hunter,"['Hunting', 'Open World', 'VR', 'Simulation', 'First-Person', 'Shooter', 'Immersive Sim', 'Realistic', 'Walking Simulator', 'Nature', 'Early Access', 'Exploration', 'Singleplayer', 'Atmospheric', 'Relaxing', 'FPS', 'Indie', 'Archery', 'Stealth', '6DOF', 'VR Only']",: 702,": 0 .. 20,000",: 2 new videos uploaded yesterday.
Floor Plan: Hands-On Edition,"['Adventure', 'Indie', 'VR', 'Puzzle', 'Surreal', 'First-Person', 'Point & Click', 'Comedy', 'Funny', 'Singleplayer', 'Stylized', 'Casual', 'Colorful', 'Family Friendly', 'Escape Room', 'VR Only']",: 509,": 20,000 .. 50,000",nan
Floor Plan: Hands-On Edition,"['Adventure', 'Indie', 'VR', 'Puzzle', 'Surreal', 'First-Person', 'Point & Click', 'Comedy', 'Funny', 'Singleplayer', 'Stylized', 'Casual', 'Colorful', 'Family Friendly', 'Escape Room', 'VR Only']",: 509,": 20,000 .. 50,000",nan
SOMNI,"['Simulation', '3D', 'Horror', 'VR', 'First-Person', 'Realistic', 'Demons', 'Multiplayer', 'Investigation', 'Online Co-Op', 'Supernatural', 'Survival Horror', 'Indie', 'Action', 'Early Access', 'Physics', 'Resource Management', 'Singleplayer', 'Ambient', 'Immersive']",: 409,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Horror Bar VR,"['Simulation', 'VR', 'Physics', 'Immersive Sim', 'Singleplayer', 'Casual', 'Management', 'Family Friendly', 'Funny', 'Comedy', 'Dark Humor', 'Economy', 'Arcade', 'Cooking', 'First-Person', 'Cartoony', 'Colorful', 'Cartoon', 'Replay Value', 'Indie', 'VR Only']",: 714,": 0 .. 20,000",nan
Lost: Find,"['Mature', 'Sexual Content', 'Hentai', 'Nudity', 'NSFW', 'Turn-Based Strategy', 'FPS', 'Cyberpunk', 'Singleplayer', 'Puzzle', 'Story Rich', 'VR', 'Indie', 'Casual', 'Shooter', 'Anime']",": 12,524",": 100,000 .. 200,000",: 4 new videos uploaded yesterday.
Blair Witch VR,"['Adventure', 'Action-Adventure', 'Exploration', 'Cinematic', 'First-Person', 'Realistic', ""1990's"", 'America', 'Atmospheric', 'Dark', 'Detective', 'Horror', 'Dog', 'Investigation', 'Psychological Horror', 'Mystery', 'Thriller', 'Multiple Endings', 'VR', 'Choices Matter', 'VR Only']",": 1,150",": 0 .. 20,000",: 0 new videos uploaded yesterday.
Among the Sleep - Enhanced Edition,"['Horror', 'Indie', 'Adventure', 'Atmospheric', 'First-Person', 'Singleplayer', 'Walking Simulator', 'Survival Horror', 'Dark', 'Action', 'Puzzle', 'Short', 'Psychological Horror', 'Exploration', 'Story Rich', 'Cute', 'Survival', 'Stealth', 'VR', 'Simulation']",": 26,407",": 200,000 .. 500,000",: 1 new videos uploaded yesterday.
Space Docker VR,"['Simulation', 'Flight', 'Space', 'Immersive Sim', 'VR', 'Physics', 'Space Sim', 'Sci-fi', '6DOF', 'Singleplayer', 'Indie', 'Procedural Generation', 'First-Person', 'Futuristic', 'VR Only']",: 753,": 0 .. 20,000",nan
Trickster VR: Co-op Dungeon Crawler,"['Adventure', 'Action', 'Co-op', 'Dungeon Crawler', 'Indie', 'VR', 'Procedural Generation', 'Action RPG', 'Archery', 'Online Co-Op', 'VR Only']",": 4,020",": 50,000 .. 100,000",nan
HoloBall,"['Action', 'Sports', 'Indie', 'VR', 'VR Only']",": 1,134",": 50,000 .. 100,000",nan
Holoswitch,"['Utilities', 'VR', 'Casual', 'Video Production', 'Audio Production', 'Web Publishing', 'Relaxing', 'Singleplayer', 'Software', 'VR Only']",: 756,": 0 .. 20,000",nan
Winds & Leaves,"['VR', 'Adventure', 'Stylized', 'Time Manipulation', 'Simulation', 'Open World', 'Exploration', 'Atmospheric', 'Narration', 'Nature', 'God Game', 'Survival', 'Farming Sim', '3D', 'Singleplayer', 'Inventory Management', 'Resource Management', '6DOF', 'Indie', 'VR Only']",: 280,": 0 .. 20,000",nan
DCS: C-101 Aviojet,['Simulation'],nan,": 0 .. 20,000",nan
DCS: Christen Eagle II,['Simulation'],nan,": 0 .. 20,000",nan
The Gallery - Episode 1: Call of the Starseed,"['Adventure', 'Indie', 'VR', 'Casual', 'First-Person', 'Great Soundtrack', '1980s', 'Episodic', 'Kickstarter', 'Story Rich', 'Atmospheric', 'Puzzle', 'Singleplayer', 'VR Only']",": 9,867",": 50,000 .. 100,000",nan
DEATHWATCH,"['Horror', 'Supernatural', 'Psychological Horror', 'Psychological', 'VR', 'Hidden Object', 'Survival Horror', 'Demons', 'Puzzle', 'Time Management', 'Investigation', 'Strategy', 'Mystery', 'Dark', '3D', 'First-Person', 'Realistic', 'Zombies', 'Linear', 'Action']",: 372,": 0 .. 20,000",: 2 new videos uploaded yesterday.
ARMS DOLL,"['Action', 'VR', 'Mechs', 'Robots', 'Singleplayer', 'FPS', 'Shooter', 'First-Person', 'Vehicular Combat', 'Indie', 'Simulation', 'Sci-fi', 'Combat', '3D', 'VR Only']",: 276,": 0 .. 20,000",nan
Unknightly,"['VR', 'Stealth', 'Action-Adventure', 'Singleplayer', 'Medieval', 'Archery', 'Assassin', 'Immersive', 'Dark', 'Immersive Sim', 'Action', 'Adventure', 'Combat', 'FPS', 'Difficult', 'Mystery', 'Early Access', 'Indie', 'Horror', 'Casual', 'VR Only']",": 2,243",": 0 .. 20,000",nan
Dungeon Escape VR,"['Indie', 'Puzzle', 'VR', 'Mystery Dungeon', 'VR Only']",: 436,": 20,000 .. 50,000",nan
Ice Lakes,"['Fishing', 'Sports', 'Simulation', 'Indie', 'Multiplayer', 'VR', 'Open World', 'Competitive', 'Singleplayer', 'Casual']",: 0,": 200,000 .. 500,000",: 0 new videos uploaded yesterday.
The Atlas Mystery: A VR Puzzle Game,"['VR', 'Strategy', 'Escape Room', 'Adventure', 'Puzzle', 'Atmospheric', 'Mystery', 'Exploration', '3D', 'First-Person', 'Noir', 'Historical', 'Supernatural', 'Surreal', 'Investigation', 'Multiple Endings', 'Singleplayer', 'Physics', 'Story Rich', 'Psychological', 'VR Only']",: 304,": 20,000 .. 50,000",: 0 new videos uploaded yesterday.
Omega Pilot,"['Racing', 'VR', 'Flight', 'First-Person', 'Simulation', 'Asynchronous Multiplayer', 'Casual', 'Combat Racing', 'Arena Shooter', 'Realistic', 'Driving', 'Futuristic', 'Character Customization', 'Physics', 'Action', 'Singleplayer', 'e-sports', 'Indie', 'VR Only']",: 950,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Paranormal Detective: Escape from the 80's,"['Escape Room', 'VR', 'Puzzle', '1980s', 'Simulation', 'Adventure', 'Casual', 'Immersive', 'Investigation', 'Retro', 'Nostalgia', 'Mystery', 'Music', 'Funny', 'Arcade', 'Robots', 'Indie', 'Detective', 'Story Rich', 'Singleplayer', 'VR Only']",: 217,": 0 .. 20,000",nan
Transference™,"['Adventure', 'VR', 'Horror', 'Psychological Horror', 'Indie', 'Psychological', 'Walking Simulator', 'FMV', 'Puzzle', 'First-Person']",": 5,713",": 0 .. 20,000",: 2 new videos uploaded yesterday.
Zombieland VR: Headshot Fever,"['VR', 'On-Rails Shooter', 'Arcade', 'Score Attack', 'Bullet Time', 'Action', 'Zombies', 'Shooter', 'Asynchronous Multiplayer', 'America', 'First-Person', 'Stylized', 'Time Manipulation', '6DOF', 'PvE', 'Singleplayer', 'Racing', 'FPS', 'Gun Customization', 'Post-apocalyptic', 'VR Only']",: 590,": 0 .. 20,000",: 0 new videos uploaded yesterday.
Kittypocalypse,"['Strategy', 'VR', 'Tower Defense', 'Action', 'Indie', 'Casual', 'VR Only']",": 1,396",": 0 .. 20,000",nan
AFFECTED: The Manor - The Complete Edition,"['Indie', 'Casual', 'VR', 'Horror', 'VR Only']",: 625,": 50,000 .. 100,000",: 0 new videos uploaded yesterday.
SWORDS of GARGANTUA,"['Action', 'Adventure', 'RPG', 'VR', 'Swordplay', 'Multiplayer', 'VR Only']",": 2,670",": 0 .. 20,000",nan
Operation Warcade VR,"['Simulation', 'Action', 'Indie', 'VR', 'Adventure', 'Casual', 'Violent', 'FPS', 'Shooter', 'Military', 'Horror', 'Arcade', 'First-Person', 'Gun Customization', 'Competitive', 'Memes', 'Gore', 'Funny', 'Retro', 'Sci-fi', 'VR Only']",: 0,": 0 .. 20,000",nan
The Quintessential Quintuplets OMOIDE VR ~ITSUKI~,"['Adventure', 'VR', 'Anime', 'Cute', 'Casual', 'Romance', 'Visual Novel', 'Choose Your Own Adventure', 'Multiple Endings', 'Story Rich', 'Singleplayer', 'VR Only']",: 869,": 0 .. 20,000",nan
Clash of Chefs VR,"['Casual', 'Simulation', 'Indie', 'VR', 'Early Access', 'Multiplayer', 'Singleplayer', 'Action', 'Arcade', 'Comedy', 'Family Friendly', 'Management', 'Funny', 'PvP', 'Physics', '6DOF', 'Competitive', 'Asynchronous Multiplayer', 'Sports', 'Cooking', 'VR Only']",": 1,035",": 0 .. 20,000",: 0 new videos uploaded yesterday.
POLYBIUS,"['Action', 'VR', 'Psychedelic', 'Arcade', 'Retro']",: 658,": 0 .. 20,000",: 1 new videos uploaded yesterday.
Mass Exodus Redux,"['Multiplayer', 'VR', 'Local Multiplayer', 'Action', 'Atmospheric', 'Casual', 'Indie', 'Arcade', 'Asynchronous Multiplayer', 'Asymmetric VR', 'Horror', 'Rogue-like', '3D Platformer', 'First-Person', 'Split Screen', 'Building', 'Sci-fi', 'Dark', 'Drama', 'Emotional', 'VR Only']",": 1,537",": 50,000 .. 100,000",nan
